Species,Region,Island,cc,cl,cd,fl,bm,Sex
Adelie Penguin (Pygoscelis adeliae),0,0,1,39.3,20.6,190,3650,0
Adelie Penguin (Pygoscelis adeliae),0,0,0,38.9,17.8,181,3625,1
Adelie Penguin (Pygoscelis adeliae),0,0,0,39.2,19.6,195,4675,0
Adelie Penguin (Pygoscelis adeliae),0,0,1,34.1,18.1,193,3475,
Adelie Penguin (Pygoscelis adeliae),0,0,1,42,20.2,190,4250,
Adelie Penguin (Pygoscelis adeliae),0,0,1,37.8,17.1,186,3300,
Adelie Penguin (Pygoscelis adeliae),0,0,1,37.8,17.3,180,3700,
Adelie Penguin (Pygoscelis adeliae),0,0,1,41.1,17.6,182,3200,1
Adelie Penguin (Pygoscelis adeliae),0,0,1,38.6,21.2,191,3800,0
Adelie Penguin (Pygoscelis adeliae),0,0,1,34.6,21.1,198,4400,0
Adelie Penguin (Pygoscelis adeliae),0,0,1,36.6,17.8,185,3700,1
Adelie Penguin (Pygoscelis adeliae),0,0,1,38.7,19,195,3450,1
Adelie Penguin (Pygoscelis adeliae),0,0,1,42.5,20.7,197,4500,0
Adelie Penguin (Pygoscelis adeliae),0,0,1,34.4,18.4,184,3325,1
Adelie Penguin (Pygoscelis adeliae),0,0,1,46,21.5,194,4200,0
Adelie Penguin (Pygoscelis adeliae),0,1,1,37.8,18.3,174,3400,1
Adelie Penguin (Pygoscelis adeliae),0,1,1,35.3,18.9,187,3800,1
Adelie Penguin (Pygoscelis adeliae),0,1,1,40.6,18.6,183,3550,0
Adelie Penguin (Pygoscelis adeliae),0,1,1,40.5,17.9,187,3200,1
Adelie Penguin (Pygoscelis adeliae),0,1,0,37.9,18.6,172,3150,1
Adelie Penguin (Pygoscelis adeliae),0,1,0,40.5,18.9,180,3950,0
Adelie Penguin (Pygoscelis adeliae),0,2,1,39.5,16.7,178,3250,1
Adelie Penguin (Pygoscelis adeliae),0,2,1,37.2,18.1,178,3900,0
Adelie Penguin (Pygoscelis adeliae),0,2,1,39.5,17.8,188,3300,1
Adelie Penguin (Pygoscelis adeliae),0,2,1,36.5,18,182,3150,1
Adelie Penguin (Pygoscelis adeliae),0,2,1,40.8,18.4,195,3900,0
